transaction_amount,customer_avg_amount,amount_deviation_ratio,dispute_amount,customer_dispute_count,merchant_dispute_rate,days_since_payment,dispute_velocity_24h,dispute_velocity_7d,is_duplicate_flag,transaction_hour,transaction_day_of_week,reason_code_encoded,merchant_high_risk_flag,customer_account_age_days,ip_billing_mismatch,is_fraud
1792.44,1373.7,1.3048,1677.36,0,0.0327,66,1,1,0,23,0,0,0,603,0,1
10685.43,7968.88,1.3409,10373.57,0,0.0059,68,1,1,0,12,5,3,1,341,0,0
4758.61,7940.96,0.5992,4587.41,1,0.0245,16,0,1,0,0,3,4,0,305,0,0
3345.3,2506.85,1.3345,2920.73,0,0.0124,4,0,0,0,5,0,2,0,157,0,0
743.69,580.62,1.2809,648.79,1,0.0032,57,0,0,0,13,6,3,0,88,0,0
743.59,1087.99,0.6835,661.96,0,0.035,73,0,1,0,16,4,5,0,228,0,0
359.44,370.09,0.9712,324.99,0,0.0057,85,0,1,0,12,5,2,0,365,0,0
7189.31,10693.34,0.6723,6551.39,0,0.0144,23,2,2,1,12,5,4,0,646,1,1
3366.79,1654.82,2.0345,3205.03,1,0.0529,2,1,1,0,8,4,1,0,266,0,0
4459.38,4827.72,0.9237,3828.39,1,0.0171,67,0,1,0,5,4,2,0,84,0,1
222.8,99.6,2.2369,190.54,0,0.0117,87,0,0,0,5,5,0,0,212,1,0
12412.45,6053.73,2.0504,11280.27,1,0.0107,26,0,0,0,4,3,2,1,218,0,0
6402.5,10685.85,0.5992,6111.66,0,0.0697,7,0,0,0,20,0,3,0,151,0,0
985.41,586.26,1.6808,866.19,0,0.0875,44,1,2,0,13,6,1,0,686,0,0
852.38,976.31,0.8731,806.54,0,0.0407,33,1,1,0,13,1,2,0,140,0,0
859.14,838.12,1.0251,763.75,0,0.0307,64,0,0,0,3,0,3,0,55,0,0
1419.64,1258.2,1.1283,1395.38,2,0.01,36,0,0,0,1,3,4,0,141,0,0
2753.75,4570.58,0.6025,2710.66,0,0.0476,4,2,3,1,1,4,0,0,74,0,0
2129.38,916.81,2.3226,1904.93,0,0.0204,23,0,0,0,16,3,3,0,135,0,0
1354.78,1800.92,0.7523,1198.3,1,0.0588,25,0,0,0,9,0,0,0,642,0,0
3462.3,6054.7,0.5718,3156.56,1,0.0019,85,0,1,0,13,6,2,0,26,0,0
675.82,800.33,0.8444,598.83,0,0.0161,74,1,1,0,18,3,0,0,488,0,1
1359.3,2326.51,0.5843,1292.5,0,0.0047,27,0,1,1,16,1,0,0,435,0,1
1746.97,826.6,2.1134,1701.39,1,0.0215,51,0,0,0,21,3,0,0,581,0,0
2281.27,2250.04,1.0139,2169.41,0,0.0237,79,1,1,0,10,2,1,0,62,0,0
5532.78,4228.27,1.3085,5387.01,0,0.0303,81,0,0,0,6,3,2,0,200,1,0
