reason_code_encoded,evidence_completeness_score,has_invoice,has_shipping_proof,has_proof_of_delivery,has_customer_communication,contradiction_count,contradiction_max_severity,fraud_probability,merchant_historical_win_rate,previous_disputes_won_count,dispute_amount,evidence_quality_score,merchant_won
1,1.0,1,1,1,1,0,0,0.2625,0.4022,19,2110.91,0.7808,1
5,0.75,1,1,0,1,0,0,0.0659,0.6534,11,7924.42,0.5749,1
2,0.75,1,1,1,0,0,0,0.2505,0.7771,25,4523.06,0.5337,1
2,0.75,1,0,1,1,1,3,0.3944,0.3537,44,906.52,0.6469,1
0,0.5,1,0,0,1,1,2,0.5198,0.6169,35,263.82,0.4084,0
0,0.5,1,0,1,0,1,1,0.0618,0.7807,15,4422.39,0.4765,1
0,1.0,1,1,1,1,2,2,0.2499,0.569,6,6643.89,0.6612,0
3,0.5,1,1,0,0,2,3,0.2007,0.8652,32,4325.52,0.4377,0
2,0.75,0,1,1,1,0,0,0.2367,0.6029,47,3712.86,0.6878,1
2,0.25,1,0,0,0,0,0,0.3449,0.8513,1,1103.69,0.229,1
0,0.5,0,0,1,1,1,2,0.1423,0.7201,32,2488.44,0.4801,1
5,0.5,0,1,1,0,0,0,0.4925,0.5765,13,4617.96,0.4526,1
3,1.0,1,1,1,1,0,0,0.3986,0.6364,19,852.14,0.9747,1
0,0.5,1,0,1,0,0,0,0.1958,0.7924,36,2365.56,0.3832,1
0,1.0,1,1,1,1,2,2,0.2817,0.5887,26,535.62,0.8261,1
0,0.75,1,0,1,1,0,0,0.0464,0.7474,46,2747.94,0.4912,1
0,0.75,1,1,0,1,1,1,0.0392,0.586,41,3082.81,0.4893,0
1,1.0,1,1,1,1,0,0,0.0476,0.801,20,2782.92,0.734,1
1,0.5,0,0,1,1,0,0,0.2083,0.7368,1,2318.54,0.3426,1
0,0.5,1,0,0,1,0,0,0.2959,0.4142,42,3198.93,0.3705,0
2,1.0,1,1,1,1,0,0,0.0211,0.679,15,20205.59,0.712,1
0,0.75,1,0,1,1,1,2,0.1591,0.6932,18,3509.98,0.495,1
0,1.0,1,1,1,1,1,1,0.0524,0.7776,3,4988.16,0.9683,1
1,0.25,0,1,0,0,0,0,0.2162,0.7043,9,846.7,0.1632,0
1,0.5,1,1,0,0,1,2,0.1322,0.309,21,2742.75,0.4538,0
2,0.5,1,1,0,0,0,0,0.2507,0.7799,11,126.37,0.3516,1
0,1.0,1,1,1,1,0,0,0.2674,0.7363,1,211.87,0.9693,1
1,0.25,1,0,0,0,0,0,0.3118,0.8652,1,1462.61,0.2406,1
2,1.0,1,1,1,1,1,3,0.1442,0.7202,40,2299.7,0.8789,1
0,0.75,1,1,0,1,1,3,0.3848,0.8347,43,3100.08,0.664,0
2,0.75,1,1,1,0,0,0,0.0579,0.6209,33,7762.53,0.4889,1
0,0.5,1,0,0,1,2,2,0.1551,0.3598,17,5270.7,0.4974,0
0,0.5,1,0,1,0,0,0,0.143,0.7603,15,1348.25,0.4786,1
4,0.5,1,1,0,0,0,0,0.1897,0.6606,18,4861.98,0.4816,1
5,0.75,1,0,1,1,0,0,0.0906,0.8826,46,2890.04,0.6606,1
3,0.5,1,1,0,0,1,3,0.7549,0.5104,24,5386.45,0.3853,0
0,0.5,0,1,1,0,0,0,0.1624,0.7697,29,1952.95,0.4814,1
0,1.0,1,1,1,1,1,3,0.0473,0.6697,47,437.38,0.752,1
2,0.5,1,1,0,0,0,0,0.1131,0.6677,5,3472.64,0.4235,1
1,1.0,1,1,1,1,0,0,0.0913,0.9814,26,2949.95,0.6849,1
0,1.0,1,1,1,1,2,2,0.1694,0.5444,14,10846.86,0.9727,1
1,0.25,1,0,0,0,0,0,0.1392,0.7649,30,719.12,0.1748,0
0,0.75,1,1,1,0,1,1,0.1047,0.3903,43,3836.25,0.5465,1
4,0.5,0,1,0,1,0,0,0.4972,0.6622,21,2349.08,0.4227,1
0,1.0,1,1,1,1,2,2,0.1049,0.6361,11,1767.05,0.9174,1
2,0.75,1,1,1,0,0,0,0.2594,0.3095,9,5639.23,0.6501,1
0,0.5,0,1,0,1,0,0,0.2259,0.7741,20,5924.56,0.3656,0
1,0.75,1,1,1,0,0,0,0.2678,0.6591,46,4488.53,0.4877,0
1,1.0,1,1,1,1,1,3,0.1591,0.847,30,405.56,0.915,1
0,0.25,0,0,1,0,1,0,0.165,0.7918,35,1581.51,0.2487,1
5,0.75,1,1,1,0,0,0,0.4107,0.886,9,267.57,0.7001,1
2,0.75,1,1,1,0,0,0,0.1192,0.4505,18,1573.88,0.6083,1
4,1.0,1,1,1,1,1,1,0.2092,0.472,22,3753.62,0.9663,1
4,1.0,1,1,1,1,0,0,0.2326,0.6711,45,2659.48,0.7934,1
2,1.0,1,1,1,1,0,0,0.2743,0.6638,9,4348.34,0.8337,1
4,0.5,1,0,1,0,0,0,0.485,0.839,48,2906.16,0.4085,1
0,0.75,1,1,1,0,0,0,0.0832,0.62,26,2940.29,0.605,1
0,0.5,1,0,1,0,0,0,0.2482,0.773,42,2603.63,0.4607,1
0,1.0,1,1,1,1,0,0,0.2278,0.6502,49,1685.74,0.8344,1
0,1.0,1,1,1,1,0,0,0.483,0.6017,1,2170.64,0.7609,1
1,0.5,0,0,1,1,0,0,0.2745,0.8969,10,517.47,0.3702,0
0,0.25,1,0,0,0,0,0,0.2132,0.6994,7,6395.92,0.1658,0
3,1.0,1,1,1,1,0,0,0.3259,0.8336,18,7800.47,0.8541,1
1,0.5,1,0,1,0,0,0,0.1416,0.8165,15,5187.57,0.3652,1
0,0.5,0,1,0,1,0,0,0.2423,0.4846,3,3166.26,0.3509,0
1,0.5,1,0,1,0,1,1,0.1646,0.5821,13,3047.22,0.4394,1
0,0.75,1,0,1,1,0,0,0.4429,0.8001,21,2324.21,0.6663,1
3,0.5,1,1,0,0,0,0,0.0647,0.8249,16,1020.9,0.4566,1
0,0.5,1,1,0,0,1,0,0.2952,0.9594,42,1794.66,0.4131,0
5,0.75,1,1,0,1,0,0,0.4436,0.8951,25,16185.28,0.7222,1
2,0.75,1,1,1,0,0,0,0.1896,0.6975,34,651.58,0.7333,1
0,0.5,1,1,0,0,0,0,0.3258,0.3999,35,2838.33,0.4663,0
0,0.75,1,1,0,1,2,2,0.0263,0.4918,44,7148.46,0.6543,1
3,1.0,1,1,1,1,1,3,0.3457,0.8911,48,2211.58,0.7563,1
2,0.75,1,1,0,1,0,0,0.4056,0.7373,29,3356.45,0.7455,1
2,0.5,1,1,0,0,0,0,0.1813,0.9048,20,6256.71,0.373,1
2,0.75,1,1,0,1,0,0,0.1974,0.49,19,2875.86,0.5407,0
0,0.75,1,0,1,1,0,0,0.2156,0.6756,41,4701.76,0.6036,1
1,0.75,1,1,1,0,1,0,0.0964,0.5494,25,1593.08,0.5024,1
0,0.5,1,0,0,1,2,2,0.0921,0.5371,11,4722.08,0.4962,0
3,0.5,0,1,1,0,0,0,0.3982,0.2147,7,246.6,0.428,0
2,0.25,0,0,1,0,1,2,0.1594,0.5282,34,680.77,0.2112,0
0,0.5,1,1,0,0,1,2,0.2064,0.8471,28,3649.59,0.4398,0
0,0.5,1,1,0,0,0,0,0.2599,0.6951,41,2185.78,0.412,1
0,0.5,1,0,0,1,0,0,0.3582,0.7334,6,6268.02,0.3306,0
0,0.75,1,0,1,1,1,3,0.2413,0.567,9,1564.79,0.6482,0
2,0.5,0,0,1,1,1,2,0.0839,0.7275,38,5201.64,0.4503,1
2,0.75,1,1,0,1,1,0,0.0487,0.7201,49,624.27,0.5969,1
4,0.75,1,1,1,0,0,0,0.3508,0.8183,19,9414.75,0.6863,1
1,0.5,1,0,0,1,0,0,0.5007,0.453,27,1997.14,0.3647,1
0,1.0,1,1,1,1,0,0,0.0918,0.7039,13,1018.88,0.7274,1
2,0.75,1,1,1,0,0,0,0.0784,0.5855,11,5548.16,0.5299,1
2,0.75,1,1,0,1,0,0,0.3961,0.6702,7,10440.14,0.5851,1
2,1.0,1,1,1,1,0,0,0.2432,0.8357,6,8857.12,0.9465,1
2,0.75,1,1,0,1,0,0,0.7068,0.7163,4,1051.05,0.7048,1
1,1.0,1,1,1,1,1,3,0.116,0.7761,0,4001.68,0.784,1
1,0.25,1,0,0,0,0,0,0.0837,0.8938,46,2870.42,0.214,1
1,0.5,1,0,1,0,1,3,0.0192,0.6479,8,4619.77,0.4511,0
0,0.25,1,0,0,0,1,1,0.1732,0.8869,43,2435.72,0.1836,0
0,0.75,1,0,1,1,0,0,0.2171,0.7897,17,2320.51,0.5316,1
0,0.75,1,1,0,1,0,0,0.0261,0.2224,42,7600.78,0.7427,0
2,1.0,1,1,1,1,0,0,0.2347,0.8284,41,7274.76,0.8661,1
0,0.5,1,1,0,0,0,0,0.126,0.5704,9,5522.43,0.4967,0
1,0.5,1,0,1,0,0,0,0.1695,0.6507,49,4371.48,0.3841,1
4,0.5,1,0,0,1,0,0,0.1935,0.6928,0,4070.2,0.448,1
0,0.75,1,1,0,1,0,0,0.2265,0.4926,19,302.38,0.5459,1
1,0.75,1,1,1,0,0,0,0.0655,0.6923,42,4945.54,0.5561,1
2,0.5,1,0,0,1,0,0,0.1208,0.738,28,3657.4,0.4146,1
0,0.75,1,1,0,1,0,0,0.224,0.4671,1,1360.44,0.5714,1
0,1.0,1,1,1,1,0,0,0.3079,0.6174,25,6103.77,0.7087,1
0,1.0,1,1,1,1,0,0,0.2305,0.6082,10,6352.6,0.742,1
0,0.5,1,1,0,0,0,0,0.1777,0.7945,24,9518.69,0.3313,1
4,0.75,1,0,1,1,0,0,0.0791,0.7942,33,1996.65,0.6724,1
3,0.75,1,0,1,1,0,0,0.5191,0.8171,40,2904.51,0.6167,1
2,0.5,1,1,0,0,0,0,0.6126,0.8503,0,8373.91,0.3415,1
3,0.75,1,1,1,0,0,0,0.0688,0.8259,30,1433.39,0.5326,1
3,1.0,1,1,1,1,0,0,0.1803,0.6816,37,5674.77,0.6859,1
0,0.75,1,1,1,0,0,0,0.6272,0.1512,21,16984.52,0.6483,1
4,0.0,0,0,0,0,0,0,0.1464,0.5799,1,3793.79,0.1,0
1,1.0,1,1,1,1,0,0,0.2957,0.7999,46,14508.92,0.914,1
3,0.25,1,0,0,0,0,0,0.2657,0.5955,0,2638.49,0.1643,1
4,0.75,1,1,0,1,0,0,0.2289,0.3498,23,681.41,0.553,1
0,0.5,1,1,0,0,1,0,0.5101,0.5773,49,775.83,0.4809,0
0,1.0,1,1,1,1,0,0,0.2071,0.7064,35,4700.53,0.9015,1
0,0.75,1,1,1,0,0,0,0.1783,0.8354,44,103.18,0.5067,1
1,0.75,1,1,1,0,0,0,0.2092,0.8312,35,3895.32,0.703,1
3,0.75,1,1,1,0,1,2,0.1563,0.7408,46,674.06,0.6169,0
3,0.75,1,1,0,1,1,0,0.3597,0.8857,33,14654.65,0.7098,1
0,0.5,1,0,0,1,0,0,0.0496,0.7292,8,723.29,0.4301,1
1,0.25,1,0,0,0,0,0,0.1047,0.8875,11,2913.99,0.2222,0
1,0.5,1,0,0,1,0,0,0.1743,0.5456,45,3974.45,0.4989,1
0,0.5,0,0,1,1,0,0,0.3043,0.7386,19,6092.01,0.3657,1
0,1.0,1,1,1,1,0,0,0.1423,0.6796,3,2251.88,0.8684,1
0,0.5,1,1,0,0,0,0,0.322,0.7323,14,9602.7,0.4056,0
4,0.75,1,1,0,1,1,1,0.1663,0.5558,3,2390.4,0.4979,1
0,0.25,1,0,0,0,0,0,0.6358,0.7488,4,1116.51,0.1638,0
